Price,Location,Rating,Review,Units Sold,Product Rating Score,Store Rating,Store Review
Rp28.709,Kab. Bogor,3623 rating • 2112 ulasan,3623 rating • 2112 ulasan,Terjual 10 rb+,4.9,4.8,"(3,8 rb)"
Rp19.800,Kab. Klaten,3578 rating • 2551 ulasan,3578 rating • 2551 ulasan,Terjual 10 rb+,4.9,4.9,"(1,1 jt)"
Rp8.399,Kota Blitar,3538 rating • 2047 ulasan,3538 rating • 2047 ulasan,Terjual 10 rb+,4.9,4.9,"(25,3 rb)"
Rp11.499,Kota Bandung,4868 rating • 4814 ulasan,4868 rating • 4814 ulasan,Terjual 10 rb+,4.8,4.9,"(35,9 rb)"
Rp10.400,Kota Administrasi Jakarta Barat,3465 rating • 696 ulasan,3465 rating • 696 ulasan,Terjual 10 rb+,4.9,4.9,"(637,3 rb)"
Rp15.500,Kota Administrasi Jakarta Barat,3462 rating • 571 ulasan,3462 rating • 571 ulasan,Terjual 10 rb+,4.9,4.9,"(132,3 rb)"
Rp14.999,Kab. Tangerang,3351 rating • 922 ulasan,3351 rating • 922 ulasan,Terjual 6 rb+,4.9,4.9,"(119,7 rb)"
Rp12.500,Kab. Bogor,3339 rating • 1547 ulasan,3339 rating • 1547 ulasan,Terjual 10 rb+,4.9,4.8,"(3,3 rb)"
Rp5.940,Kota Administrasi Jakarta Barat,3213 rating • 558 ulasan,3213 rating • 558 ulasan,Terjual 10 rb+,4.9,4.9,"(637,3 rb)"
Rp90.000,Kota Administrasi Jakarta Pusat,3197 rating • 1074 ulasan,3197 rating • 1074 ulasan,Terjual 5 rb+,4.9,4.9,"(42,7 rb)"
Rp11.499,Kota Bandung,3161 rating • 3135 ulasan,3161 rating • 3135 ulasan,Terjual 10 rb+,4.9,4.9,"(35,9 rb)"
Rp5.000,Kota Administrasi Jakarta Barat,4398 rating • 848 ulasan,4398 rating • 848 ulasan,Terjual 10 rb+,4.8,4.9,"(417,8 rb)"
Rp49.799,Kab. Bogor,3140 rating • 1571 ulasan,3140 rating • 1571 ulasan,Terjual 10 rb+,4.9,4.8,"(3,8 rb)"
Rp12.500,Kab. Bandung,4271 rating • 4191 ulasan,4271 rating • 4191 ulasan,Terjual 10 rb+,4.8,4.8,"(6,6 rb)"
Rp24.900,Kab. Bogor,3074 rating • 883 ulasan,3074 rating • 883 ulasan,Terjual 6 rb+,4.9,4.9,"(12,1 rb)"
Rp8.500,Kota Bekasi,3064 rating • 673 ulasan,3064 rating • 673 ulasan,Terjual 10 rb+,4.9,4.9,"(14,2 rb)"
Rp27.550,Kota Tangerang,3056 rating • 667 ulasan,3056 rating • 667 ulasan,Terjual 8 rb+,4.9,4.9,"(4,3 rb)"
Rp5.500,Kota Administrasi Jakarta Barat,2984 rating • 585 ulasan,2984 rating • 585 ulasan,Terjual 10 rb+,4.9,4.9,"(637,3 rb)"
Rp8.399,Kota Blitar,4137 rating • 3558 ulasan,4137 rating • 3558 ulasan,Terjual 10 rb+,4.8,4.8,"(40,3 rb)"
Rp8.900,Kota Administrasi Jakarta Barat,2931 rating • 710 ulasan,2931 rating • 710 ulasan,Terjual 10 rb+,4.9,4.9,"(637,3 rb)"
Rp38.999,Kota Administrasi Jakarta Timur,3 rating • 2 ulasan,3 rating • 2 ulasan,Terjual 17,5.0,4.9,"(16,5 rb)"
Rp13.400,Kota Administrasi Jakarta Barat,8345 rating • 1731 ulasan,8345 rating • 1731 ulasan,Terjual 10 rb+,4.9,4.9,"(417,8 rb)"
Rp12.500,Kota Tangerang,526 rating • 180 ulasan,526 rating • 180 ulasan,Terjual 5 rb+,5.0,5.0,(513)
Rp22.000,Kota Administrasi Jakarta Selatan,4853 rating • 871 ulasan,4853 rating • 871 ulasan,Terjual 10 rb+,4.9,4.9,"(21,3 rb)"
Rp8.900,Kota Administrasi Jakarta Barat,1421 rating • 280 ulasan,1421 rating • 280 ulasan,Terjual 7 rb+,4.9,4.9,"(637,3 rb)"
Rp17.999,Kota Administrasi Jakarta Barat,2902 rating • 788 ulasan,2902 rating • 788 ulasan,Terjual 10 rb+,4.9,4.9,"(85,8 rb)"
Rp16.000,Kab. Boyolali,3915 rating • 1269 ulasan,3915 rating • 1269 ulasan,Terjual 10 rb+,4.8,4.8,"(14,7 rb)"
Rp7.600,Kota Bogor,2802 rating • 629 ulasan,2802 rating • 629 ulasan,Terjual 10 rb+,4.9,4.9,"(44,7 rb)"
Rp7.999,Kota Bekasi,2793 rating • 583 ulasan,2793 rating • 583 ulasan,Terjual 10 rb+,4.9,4.9,"(14,2 rb)"
Rp7.400,Kota Administrasi Jakarta Barat,2786 rating • 553 ulasan,2786 rating • 553 ulasan,Terjual 10 rb+,4.9,4.9,"(417,8 rb)"
Rp23.300,Kab. Bogor,3846 rating • 1961 ulasan,3846 rating • 1961 ulasan,Terjual 10 rb+,4.8,4.8,"(3,2 rb)"
Rp5.500,Kota Administrasi Jakarta Barat,2707 rating • 567 ulasan,2707 rating • 567 ulasan,Terjual 10 rb+,4.9,4.9,"(417,8 rb)"
Rp8.499,Kab. Bandung,3747 rating • 1812 ulasan,3747 rating • 1812 ulasan,Terjual 50 rb+,4.8,4.9,"(16,6 rb)"
Rp10.000,Kota Bandung,2624 rating • 716 ulasan,2624 rating • 716 ulasan,Terjual 10 rb+,4.9,4.9,"(28,3 rb)"
Rp8.399,Kab. Bandung,2542 rating • 1855 ulasan,2542 rating • 1855 ulasan,Terjual 10 rb+,4.9,4.9,"(23,8 rb)"
Rp9.399,Kota Bandung,2527 rating • 641 ulasan,2527 rating • 641 ulasan,Terjual 10 rb+,4.9,4.9,"(18,4 rb)"
Rp10.999,Kota Surabaya,2462 rating • 587 ulasan,2462 rating • 587 ulasan,Terjual 10 rb+,4.9,4.8,"(5,1 rb)"
Rp12.999,Kab. Bogor,2453 rating • 714 ulasan,2453 rating • 714 ulasan,Terjual 10 rb+,4.9,4.8,"(8,3 rb)"
Rp8.400,Kota Administrasi Jakarta Barat,2433 rating • 442 ulasan,2433 rating • 442 ulasan,Terjual 10 rb+,4.9,4.9,"(417,8 rb)"
Rp12.499,Kota Bandung,2415 rating • 1164 ulasan,2415 rating • 1164 ulasan,Terjual 10 rb+,4.9,4.9,"(14,5 rb)"
Rp32.999,Kab. Sukabumi,3398 rating • 1121 ulasan,3398 rating • 1121 ulasan,Terjual 10 rb+,4.8,4.8,"(3,5 rb)"
Rp88.990,Kab. Bandung,2408 rating • 2356 ulasan,2408 rating • 2356 ulasan,Terjual 8 rb+,4.9,4.9,"(71,6 rb)"
Rp8.399,Kota Blitar,2401 rating • 2004 ulasan,2401 rating • 2004 ulasan,Terjual 10 rb+,4.9,4.9,"(25,3 rb)"
Rp23.000,Kota Administrasi Jakarta Utara,2369 rating • 416 ulasan,2369 rating • 416 ulasan,Terjual 50 rb+,4.9,4.9,"(119,3 rb)"
Rp18.216,Kota Administrasi Jakarta Barat,2341 rating • 332 ulasan,2341 rating • 332 ulasan,Terjual 10 rb+,4.9,4.9,"(637,3 rb)"
Rp19.777,Kota Bandung,2234 rating • 481 ulasan,2234 rating • 481 ulasan,Terjual 9 rb+,4.9,4.8,(116 rb)
Rp18.800,Kota Tangerang,2233 rating • 1264 ulasan,2233 rating • 1264 ulasan,Terjual 10 rb+,4.9,4.8,"(9,3 rb)"
Rp8.316,Kota Administrasi Jakarta Barat,2226 rating • 389 ulasan,2226 rating • 389 ulasan,Terjual 10 rb+,4.9,4.9,"(637,3 rb)"
